127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001036
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002590
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000836
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000902
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001338
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001778
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002133
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001105
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000739
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000316
127.0.0.1, 2019-04-23 23:09:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000212
127.0.0.1, 2019-04-23 23:09:53, GET, /admin/default/site, HTTP/1.1, 200, 0.022903
127.0.0.1, 2019-04-23 23:09:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000189
127.0.0.1, 2019-04-23 23:10:17, GET, /admin/default/site, HTTP/1.1, 200, 0.023166
127.0.0.1, 2019-04-23 23:10:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2019-04-23 23:10:23, GET, /start/default/index, HTTP/1.1, 500, 5.052670
127.0.0.1, 2019-04-23 23:10:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000182
127.0.0.1, 2019-04-23 23:11:41, GET, /, HTTP/1.1, 303, 0.000480
127.0.0.1, 2019-04-23 23:11:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.022735
127.0.0.1, 2019-04-23 23:11:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000376
127.0.0.1, 2019-04-23 23:11:47, GET, /admin, HTTP/1.1, 303, 0.002311
127.0.0.1, 2019-04-23 23:11:47, GET, /admin/default/site, HTTP/1.1, 200, 0.023765
127.0.0.1, 2019-04-23 23:11:47, GET, /admin/default/site, HTTP/1.1, 200, 0.023708
127.0.0.1, 2019-04-23 23:11:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2019-04-23 23:11:54, GET, /start/default/index, HTTP/1.1, 500, 5.015484
127.0.0.1, 2019-04-23 23:11:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2019-04-23 23:11:55, GET, /admin/default/site, HTTP/1.1, 200, 0.023890
127.0.0.1, 2019-04-23 23:11:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2019-04-23 23:11:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.020159
127.0.0.1, 2019-04-23 23:11:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000224
127.0.0.1, 2019-04-23 23:17:06, GET, /admin, HTTP/1.1, 303, 0.002990
127.0.0.1, 2019-04-23 23:17:06, GET, /admin/default/site, HTTP/1.1, 200, 0.025382
127.0.0.1, 2019-04-23 23:17:06, GET, /admin/default/site, HTTP/1.1, 200, 0.019291
127.0.0.1, 2019-04-23 23:17:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2019-04-23 23:17:07, GET, /examples/default/index, HTTP/1.1, 200, 0.111731
127.0.0.1, 2019-04-23 23:17:07, GET, /examples/static/css/custom.css, HTTP/1.1, 200, 0.001484
127.0.0.1, 2019-04-23 23:17:07, GET, /examples/static/css/myapp.css, HTTP/1.1, 200, 0.000991
127.0.0.1, 2019-04-23 23:17:07, GET, /examples/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000668
127.0.0.1, 2019-04-23 23:17:07, GET, /examples/static/js/vue.min.js, HTTP/1.1, 200, 0.001319
127.0.0.1, 2019-04-23 23:17:07, GET, /examples/static/js/marked.min.js, HTTP/1.1, 200, 0.000975
127.0.0.1, 2019-04-23 23:17:07, GET, /examples/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000381
127.0.0.1, 2019-04-23 23:17:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2019-04-23 23:17:10, GET, /examples/default/index, HTTP/1.1, 200, 0.020160
127.0.0.1, 2019-04-23 23:17:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2019-04-23 23:17:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
127.0.0.1, 2019-04-23 23:17:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2019-04-23 23:17:16, GET, /examples/default/user/login, HTTP/1.1, 200, 0.023646
127.0.0.1, 2019-04-23 23:17:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2019-04-23 23:17:20, GET, /examples/default/user/register, HTTP/1.1, 200, 0.023818
127.0.0.1, 2019-04-23 23:17:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000181
127.0.0.1, 2019-04-23 23:17:26, POST, /examples/default/user/register, HTTP/1.1, 200, 0.025019
127.0.0.1, 2019-04-23 23:17:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2019-04-23 23:17:44, POST, /examples/default/user/register, HTTP/1.1, 200, 0.027685
127.0.0.1, 2019-04-23 23:17:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2019-04-23 23:18:03, POST, /examples/default/user/register, HTTP/1.1, 303, 0.026563
127.0.0.1, 2019-04-23 23:18:03, GET, /examples/default/index, HTTP/1.1, 200, 0.019258
127.0.0.1, 2019-04-23 23:18:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2019-04-23 23:18:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2019-04-23 23:18:08, GET, /examples/default/list_product, HTTP/1.1, 200, 0.034143
127.0.0.1, 2019-04-23 23:18:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2019-04-23 23:18:11, GET, /examples/default/create_product, HTTP/1.1, 200, 0.055705
127.0.0.1, 2019-04-23 23:18:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000196
127.0.0.1, 2019-04-23 23:18:16, POST, /examples/default/create_product, HTTP/1.1, 200, 0.052756
127.0.0.1, 2019-04-23 23:18:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000173
127.0.0.1, 2019-04-23 23:18:22, POST, /examples/default/create_product, HTTP/1.1, 303, 0.020514
